period,return_kind,threshold,holding_period,overlap,cost_bps_side,slippage_bps_side,raw_events,eligible_days,event_n,event_mean,event_median,event_std,event_win_rate,event_min,event_p05,event_p25,event_p75,event_p95,event_max,baseline_n,baseline_mean,baseline_median,baseline_std,baseline_win_rate,baseline_min,baseline_p05,baseline_p25,baseline_p75,baseline_p95,baseline_max,mean_difference,median_difference,win_rate_difference,ci_low,ci_high,p_positive,excess_ci_low,excess_ci_high,p_excess
development,gross,-0.02,3,nonoverlap,5,5,62,2147,50,0.00040018338576866433,0.005388046686064407,0.035083830702423026,0.6,-0.11005989535403471,-0.048487614910644856,-0.014056147393518792,0.01779187770050944,0.04244790341517263,0.10106015447463923,2147,0.0003519680137393323,0.0012040539200213196,0.01743385281626838,0.5337680484396833,-0.1167108223779264,-0.026317943136779397,-0.010149907680813142,0.010144766046774611,0.024654792731282835,0.11959691917230253,4.8215372029332035e-05,0.0041839927660430876,0.0662319515603167,-0.009407446788611598,0.00958203817300897,0.46117960679773407,-0.009868107253066308,0.009463083408122526,0.4878373875374875
development,net,-0.02,3,nonoverlap,5,5,62,2147,50,-0.001598618179437552,0.0033792793600184723,0.03501373313858202,0.58,-0.11183799746121925,-0.050388738557176946,-0.016026065180944155,0.01575832749531364,0.040365090421336236,0.09886023408607869,2147,-0.001646737217057238,-0.0007963537801184417,0.017399019943508603,0.4806707033069399,-0.11847563591962884,-0.02826336183181064,-0.012127630142989176,0.008126494785942073,0.022607530408143537,0.11735996229083945,4.811903761968591e-05,0.004175633140136914,0.09932929669306007,-0.01138665268913375,0.007564891243592474,0.623458847050983,-0.009848390755058178,0.009444176148565832,0.4878373875374875
development,gross,-0.02,5,nonoverlap,5,5,62,2117,44,-0.0024801505558025823,0.00622401198368383,0.039286685654641273,0.5227272727272727,-0.14379466136793206,-0.059738165636853684,-0.01653223238850629,0.021172012333384727,0.038740635790917716,0.05727638008849789,2117,0.00145913838926003,0.0024558172170328074,0.023378238359138017,0.5555030703826169,-0.18040690978886753,-0.034102159598822165,-0.010946770121415317,0.015044009486251175,0.034825334131239324,0.11151692062165242,-0.003939288945062612,0.003768194766651023,-0.03277579765534422,-0.014133671851316813,0.008280330866585086,0.6684438520493169,-0.015968049710401555,0.006861768031932496,0.748750416527824
development,net,-0.02,5,nonoverlap,5,5,62,2117,44,-0.0044731972080386435,0.004213574397303077,0.03920819077820844,0.5227272727272727,-0.14550536134521885,-0.061616810660556236,-0.01849720295316462,0.01913170861243918,0.03666522992520164,0.05516393976864076,2117,-0.0005417789701589632,0.00045290849132473276,0.023331528592186693,0.5092111478507322,-0.18204445842065786,-0.036032025413809385,-0.012922900450842878,0.013015949527237725,0.03275775104606208,0.10929610759343733,-0.00393141823787968,0.0037606659059783443,0.013516124876540525,-0.01610343474472068,0.006265784750967639,0.785071642785738,-0.015936145515175977,0.0068480582056948715,0.748750416527824
development,gross,-0.02,10,nonoverlap,5,5,61,2042,38,0.013511502836364814,0.0147717225563051,0.045656193135658454,0.5789473684210527,-0.12006312815723008,-0.04507039079575349,-0.01831804156046382,0.041017315927746156,0.0792186643753235,0.12987602473795268,2042,0.003942745735316124,0.005887935116687726,0.033980583213497034,0.5754162585700294,-0.2915458279965225,-0.04643994928004723,-0.01422291664585576,0.023231016477875732,0.05091367204038063,0.17798627119871258,0.009568757101048691,0.008883787439617374,0.0035311098510232286,-0.0007799362997296074,0.027657784120223426,0.032989003665444855,-0.005300548948186793,0.024433729348390068,0.10696434521826058
development,net,-0.02,10,nonoverlap,5,5,61,2042,38,0.011486504828699819,0.012744206627121835,0.04556497197055223,0.5789473684210527,-0.12182124378528747,-0.04697834206289473,-0.020279444074828484,0.0389373612505679,0.07706238332762065,0.12761853018303193,2042,0.0019368661234574584,0.003878169012558663,0.03391268994034319,0.545543584720862,-0.29296132084767823,-0.048345164166600514,-0.01619250122798188,0.021186598862535377,0.048813944423916455,0.17563265227523894,0.00954963870524236,0.008866037614563171,0.0334037837001907,-0.0027763799834463576,0.02560452181428898,0.05631456181272909,-0.005289958440797853,0.024384910708333336,0.10696434521826058
development,gross,-0.025,1,nonoverlap,5,5,29,2177,28,0.0013144453566265749,-0.0009851828143955799,0.023333774773494718,0.4642857142857143,-0.03428506823022115,-0.029522420326560193,-0.006863830466943277,0.009766746981219265,0.022359656097728386,0.09306520074345537,2177,-0.0007820136958852921,-0.0005644232588466469,0.009050648991642004,0.463481855764814,-0.06817998418966897,-0.015013089094412258,-0.005195525322698957,0.0038160552404600256,0.01222911979635217,0.09306520074345537,0.002096459052511867,-0.00042075955554893296,0.0008038585209003135,-0.006209900548684847,0.009951549102910594,0.36254581806064645,-0.005413139391787446,0.010697698322639239,0.3015661446184605
development,net,-0.025,1,nonoverlap,5,5,29,2177,28,-0.0006861829058241096,-0.0029812164151657994,0.023287153844876344,0.4642857142857143,-0.03621456859339722,-0.03146143646976372,-0.008848118517958331,0.007749231003235046,0.020316979462168674,0.09088125428842364,2177,-0.0027784532289603383,-0.0025612975380495673,0.00903256577687349,0.3481855764813964,-0.07004176244303628,-0.016981094910407224,-0.007183146650725392,0.0018104287564630894,0.010206683992563277,0.09088125428842364,0.0020922703231362285,-0.0004199188771162321,0.11610013780431788,-0.008195495152983042,0.00793366388991789,0.5324891702765745,-0.005402323928467165,0.010676324300016575,0.3015661446184605
development,gross,-0.025,3,nonoverlap,5,5,29,2147,24,0.003825733527342237,0.00907664449446044,0.04208906927281474,0.625,-0.11005989535403471,-0.04990421036348933,-0.02450468635734454,0.028212927634951313,0.05786816677331297,0.10106015447463923,2147,0.0003519680137393323,0.0012040539200213196,0.01743385281626838,0.5337680484396833,-0.1167108223779264,-0.026317943136779397,-0.010149907680813142,0.010144766046774611,0.024654792731282835,0.11959691917230253,0.0034737655136029047,0.00787259057443912,0.09123195156031672,-0.012982178979642125,0.020375835603052343,0.32122625791402865,-0.0133914841170235,0.01999931874499466,0.3332222592469177
development,net,-0.025,3,nonoverlap,5,5,29,2147,24,0.0018200877061089287,0.007060507342623534,0.04200497522831363,0.625,-0.11183799746121925,-0.051802503649476306,-0.026453727943043986,0.026158556151165246,0.05575454406247735,0.09886023408607869,2147,-0.001646737217057238,-0.0007963537801184417,0.017399019943508603,0.4806707033069399,-0.11847563591962884,-0.02826336183181064,-0.012127630142989176,0.008126494785942073,0.022607530408143537,0.11735996229083945,0.0034668249231661666,0.007856861122741976,0.1443292966930601,-0.014954242558104272,0.018337122644804645,0.41419526824391867,-0.013364727905001468,0.019959360066183537,0.3332222592469177
development,gross,-0.025,5,nonoverlap,5,5,29,2117,22,0.005229125921020236,0.015885519601230413,0.0386672137245161,0.6818181818181818,-0.13230214197771129,-0.04253989024361814,-0.004749666836254801,0.02527560369089832,0.04166674410593226,0.04642815905480102,2117,0.00145913838926003,0.0024558172170328074,0.023378238359138017,0.5555030703826169,-0.18040690978886753,-0.034102159598822165,-0.010946770121415317,0.015044009486251175,0.034825334131239324,0.11151692062165242,0.003769987531760206,0.013429702384197606,0.12631511143556484,-0.012926953003623443,0.019036306663507505,0.2689103632122626,-0.014378662342203676,0.018011721313130127,0.3332222592469177
